epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.876,1.36219,1.76784,1.77068,0.71682,0.5492,0.6703,0.47399,1.07577,1.14066,1.84176,0.0700375,0.00332917,0.00332917
2,902.643,1.24574,1.28464,1.73857,0.79871,0.56969,0.71104,0.50412,1.05026,1.0336,1.81897,0.0399715,0.00659654,0.00659654
3,1346.5,1.21778,1.19391,1.71577,0.82829,0.64105,0.77608,0.56005,1.01028,0.91677,1.77787,0.00983958,0.00979792,0.00979792
4,1771.96,1.16191,1.06896,1.67661,0.84474,0.67661,0.80745,0.5838,1.01687,0.81985,1.73422,0.009703,0.009703,0.009703
5,2192.45,1.13356,1.00135,1.66168,0.86713,0.70751,0.83326,0.61916,0.95097,0.75632,1.76522,0.009604,0.009604,0.009604
6,2620.68,1.11663,0.95314,1.66594,0.87892,0.71492,0.84364,0.62868,0.94803,0.7269,1.77188,0.009505,0.009505,0.009505
7,2952.02,1.10474,0.92427,1.65354,0.88613,0.72631,0.85333,0.63844,0.93334,0.70742,1.77994,0.009406,0.009406,0.009406
8,3267.32,1.09943,0.90894,1.64924,0.8838,0.74447,0.86314,0.65071,0.92053,0.6746,1.75982,0.009307,0.009307,0.009307
9,3604.46,1.08539,0.88238,1.63786,0.89016,0.75251,0.87119,0.65453,0.92704,0.66727,1.72954,0.009208,0.009208,0.009208
10,3967.49,1.07741,0.86714,1.63714,0.90183,0.75733,0.87877,0.6658,0.91721,0.64508,1.77282,0.009109,0.009109,0.009109
11,4309.08,1.07243,0.84203,1.62118,0.89611,0.76984,0.88451,0.66629,0.92516,0.63247,1.75774,0.00901,0.00901,0.00901
12,4642.28,1.06288,0.83411,1.62215,0.8939,0.77566,0.88471,0.67429,0.89961,0.62662,1.77609,0.008911,0.008911,0.008911
13,5020.34,1.06091,0.82406,1.62059,0.91019,0.77496,0.89083,0.67995,0.89892,0.60523,1.75063,0.008812,0.008812,0.008812
14,5456.81,1.05885,0.81274,1.61933,0.90336,0.78201,0.89298,0.67953,0.9053,0.60601,1.7541,0.008713,0.008713,0.008713
15,5855.13,1.0501,0.80748,1.6161,0.90564,0.79138,0.89925,0.68624,0.89673,0.5857,1.72198,0.008614,0.008614,0.008614
16,6265.66,1.04213,0.79583,1.60047,0.91011,0.79006,0.90049,0.69131,0.88099,0.58246,1.74137,0.008515,0.008515,0.008515
17,6716.81,1.03808,0.78578,1.60854,0.91816,0.79053,0.90346,0.69408,0.88052,0.57383,1.73357,0.008416,0.008416,0.008416
18,7117.63,1.03472,0.77622,1.5955,0.91082,0.79733,0.90547,0.69978,0.87174,0.56927,1.7352,0.008317,0.008317,0.008317
19,7560.5,1.0301,0.76868,1.59253,0.91746,0.8015,0.90889,0.70194,0.87369,0.56119,1.71983,0.008218,0.008218,0.008218
20,7954.99,1.02641,0.76589,1.60056,0.92275,0.8016,0.91221,0.70346,0.87625,0.55328,1.72907,0.008119,0.008119,0.008119
21,8310.94,1.02306,0.75321,1.59019,0.9243,0.80722,0.91425,0.70716,0.86806,0.54446,1.71439,0.00802,0.00802,0.00802
22,8721.56,1.01572,0.74353,1.57842,0.92726,0.80486,0.91529,0.70968,0.86081,0.54186,1.74206,0.007921,0.007921,0.007921
23,9164.47,1.01707,0.74248,1.58656,0.91956,0.81435,0.91732,0.71264,0.85986,0.53699,1.71748,0.007822,0.007822,0.007822
24,9576.62,1.01422,0.7366,1.58584,0.92069,0.81476,0.91838,0.71521,0.85744,0.5338,1.71085,0.007723,0.007723,0.007723
25,9930.57,1.01431,0.73999,1.58756,0.92056,0.81767,0.9202,0.71701,0.85202,0.52809,1.70247,0.007624,0.007624,0.007624
26,10306.7,1.0089,0.72641,1.58473,0.92733,0.81457,0.92125,0.72051,0.84527,0.52271,1.71721,0.007525,0.007525,0.007525
27,10631.3,0.99858,0.72101,1.55937,0.92424,0.82008,0.92278,0.71716,0.86406,0.52682,1.65458,0.007426,0.007426,0.007426
28,10952.4,0.99032,0.72374,1.53785,0.92977,0.81924,0.92376,0.72096,0.85477,0.5218,1.92158,0.007327,0.007327,0.007327
29,11304.1,0.98841,0.72745,1.52805,0.93058,0.8173,0.92408,0.72282,0.84985,0.52157,1.73932,0.007228,0.007228,0.007228
30,11659.4,0.97653,0.71727,1.50156,0.92794,0.82293,0.92524,0.72297,0.85231,0.51946,1.70824,0.007129,0.007129,0.007129
31,12098,0.97744,0.71635,1.49584,0.93699,0.81837,0.92599,0.72277,0.85901,0.51815,1.56976,0.00703,0.00703,0.00703
32,12421.2,0.9702,0.71484,1.4919,0.93134,0.82609,0.92708,0.72556,0.85009,0.51373,1.54618,0.006931,0.006931,0.006931
33,12846.5,0.96814,0.71665,1.48842,0.93124,0.82535,0.92743,0.73287,0.82735,0.50407,1.7026,0.006832,0.006832,0.006832
34,13203.7,0.96205,0.70608,1.47553,0.93228,0.82736,0.92857,0.73331,0.82933,0.50354,1.75764,0.006733,0.006733,0.006733
35,13585.2,0.95479,0.69932,1.47299,0.93528,0.82748,0.93012,0.73714,0.82066,0.49513,1.86995,0.006634,0.006634,0.006634
36,13893,0.95486,0.70136,1.46995,0.93496,0.83043,0.9306,0.73828,0.81755,0.49427,1.78728,0.006535,0.006535,0.006535
37,14337.1,0.95066,0.69764,1.4661,0.93087,0.83359,0.93141,0.74157,0.80836,0.49099,1.74458,0.006436,0.006436,0.006436
38,14747,0.94458,0.69305,1.4583,0.93664,0.82758,0.93141,0.73934,0.81615,0.49373,1.61855,0.006337,0.006337,0.006337
39,15058.3,0.93913,0.68802,1.45393,0.93573,0.83019,0.93178,0.73879,0.82227,0.49659,1.50491,0.006238,0.006238,0.006238
40,15402.9,0.93607,0.68574,1.45178,0.93729,0.83044,0.93247,0.7423,0.81263,0.49216,1.52534,0.006139,0.006139,0.006139
41,15787.4,0.93315,0.68356,1.44582,0.93779,0.8325,0.93339,0.74346,0.81234,0.49012,1.53978,0.00604,0.00604,0.00604
42,16182.1,0.93353,0.68056,1.44456,0.93547,0.83543,0.93382,0.74394,0.81383,0.49083,1.49771,0.005941,0.005941,0.005941
43,16572.9,0.92237,0.67237,1.44157,0.93642,0.83701,0.93438,0.74928,0.79474,0.48039,1.72052,0.005842,0.005842,0.005842
44,16985.4,0.92371,0.67871,1.43798,0.93561,0.83586,0.93448,0.74955,0.79372,0.48087,1.63246,0.005743,0.005743,0.005743
45,17326.6,0.91743,0.67073,1.43556,0.93984,0.83478,0.93497,0.75181,0.78695,0.47685,1.7064,0.005644,0.005644,0.005644
46,17714.5,0.9114,0.66791,1.41942,0.94316,0.83237,0.93546,0.75279,0.78535,0.47567,1.69184,0.005545,0.005545,0.005545
47,18040.3,0.9076,0.6595,1.42157,0.93852,0.83611,0.93587,0.75248,0.78687,0.47588,1.62416,0.005446,0.005446,0.005446
48,18448.4,0.9119,0.66774,1.42587,0.94165,0.83463,0.93614,0.75289,0.78757,0.47629,1.56073,0.005347,0.005347,0.005347
